,Seed,Technique,Feature,Percentage,R2,RMSE
233,19,NN1,UR,10,0.9209657830814175,0.2647055705504711
234,19,NN1,Pres,25,0.9912624068567496,0.09017076803222289
235,19,NN1,Temp,25,0.9670033102687695,0.16022053091642954
236,19,NN1,UR,25,0.9222913781039976,0.25527126911307796
237,19,NN1,Pres,50,0.9909795372845107,0.09185912448327727
238,19,NN1,Temp,50,0.9640812635944618,0.16696457047156052
239,19,NN1,UR,50,0.922289599522471,0.2603824949373059
240,20,NN1,Pres,5,0.9912961538161758,0.08686599107196251
241,20,NN1,Temp,5,0.9632011333330608,0.15957018121951563
242,20,NN1,UR,5,0.8917111723915888,0.3295015556699307
243,20,NN1,Pres,10,0.992274474502103,0.08631683551784132
244,20,NN1,Temp,10,0.9670580872263324,0.15776284704590235
245,20,NN1,UR,10,0.9258837302903299,0.26009522219227826
246,20,NN1,Pres,25,0.9907252124131545,0.093591303783708
247,20,NN1,Temp,25,0.9648680738506589,0.16399380416604367
248,20,NN1,UR,25,0.928529070833683,0.250252690022412
249,20,NN1,Pres,50,0.9910476500524414,0.09161114196108545
250,20,NN1,Temp,50,0.9631331067634034,0.16880941158804758
251,20,NN1,UR,50,0.9257105461483326,0.257495152468814
252,21,NN1,Pres,5,0.9918605259239257,0.09294400174656034
253,21,NN1,Temp,5,0.9511218377191737,0.19911257182353412
254,21,NN1,UR,5,0.9189465711727391,0.25470131091632875
255,21,NN1,Pres,10,0.9912091433279161,0.09341649576190258
256,21,NN1,Temp,10,0.9496623441193067,0.1980183573734703
257,21,NN1,UR,10,0.925203578054376,0.2559791503218434
258,21,NN1,Pres,25,0.9907236666253443,0.09432255503329977
259,21,NN1,Temp,25,0.9611992849706312,0.17394385449365382
260,21,NN1,UR,25,0.9246781261693571,0.25738809971176574
261,21,NN1,Pres,50,0.9907339476774746,0.09413814513459808
262,21,NN1,Temp,50,0.9636596505687361,0.16894995427218493
263,21,NN1,UR,50,0.9268620190745,0.2539695167175515
264,22,NN1,Pres,5,0.9898214557685506,0.1014934663164995
265,22,NN1,Temp,5,0.977742886131447,0.15151963529208615
266,22,NN1,UR,5,0.9335790557936421,0.24199160406988346
267,22,NN1,Pres,10,0.9908300666022049,0.09271717893073486
268,22,NN1,Temp,10,0.9686140412783897,0.15946899208932838
269,22,NN1,UR,10,0.922629873082009,0.2666226050587896
270,22,NN1,Pres,25,0.9907318959950611,0.09233803681099004
271,22,NN1,Temp,25,0.96536626813083,0.1648415216159995
272,22,NN1,UR,25,0.9287252170374108,0.25506304049925366
273,22,NN1,Pres,50,0.9913586294524893,0.09050469576225596
274,22,NN1,Temp,50,0.9635953172242162,0.1691980491746529
275,22,NN1,UR,50,0.925546440774643,0.259346205858422
276,23,NN1,Pres,5,0.9924384921063754,0.08300687695195812
277,23,NN1,Temp,5,0.967658882401367,0.16313964056863417
278,23,NN1,UR,5,0.9321139537814154,0.25689735757658827
279,23,NN1,Pres,10,0.9908643517467435,0.0898122811700309
280,23,NN1,Temp,10,0.9607495297947628,0.17059657993109573
281,23,NN1,UR,10,0.9379152828854221,0.23716929068555198
282,23,NN1,Pres,25,0.9910057576132526,0.09199180571459532
283,23,NN1,Temp,25,0.9650942197708687,0.16204516286102089
284,23,NN1,UR,25,0.9342182579819168,0.24131093753257324
285,23,NN1,Pres,50,0.9912850853426829,0.09080906109211971
286,23,NN1,Temp,50,0.9644239138791242,0.16652226077924265
287,23,NN1,UR,50,0.9307192301847975,0.2474555697404005
288,24,NN1,Pres,5,0.9924777931364924,0.08349265671023577
289,24,NN1,Temp,5,0.9721077993002423,0.14747213989281932
290,24,NN1,UR,5,0.9335790557936421,0.24199160406988346
291,24,NN1,Pres,10,0.9932905803169542,0.08224220846541112
292,24,NN1,Temp,10,0.9554494284110714,0.19574305663746858
293,24,NN1,UR,10,0.922629873082009,0.2666226050587896
294,24,NN1,Pres,25,0.9922148940993597,0.08710881689815728
295,24,NN1,Temp,25,0.9623222906356438,0.17408236097531501
296,24,NN1,UR,25,0.9287252170374108,0.25506304049925366
297,24,NN1,Pres,50,0.9916360408115048,0.08915103501311823
298,24,NN1,Temp,50,0.9626398462601323,0.17034945883721947
299,24,NN1,UR,50,0.925546440774643,0.259346205858422
300,25,NN1,Pres,5,0.9898214557685506,0.1014934663164995
301,25,NN1,Temp,5,0.9550382627252573,0.18737496585881763
302,25,NN1,UR,5,0.9178291104959743,0.2630116518394416
303,25,NN1,Pres,10,0.9908300666022049,0.09271717893073486
304,25,NN1,Temp,10,0.9557523957590108,0.18027186064030531
305,25,NN1,UR,10,0.9191960831703909,0.2647642210470641
306,25,NN1,Pres,25,0.9907318959950611,0.09233803681099004
307,25,NN1,Temp,25,0.9592072517121282,0.1766085490178583
308,25,NN1,UR,25,0.921888546810273,0.2660189858796448
309,25,NN1,Pres,50,0.9913586294524893,0.09050469576225596
310,25,NN1,Temp,50,0.9619775528207157,0.170871306289632
311,25,NN1,UR,50,0.9258925925210844,0.2573254384129932
312,26,NN1,Pres,5,0.9935103252879879,0.08315492673801096
313,26,NN1,Temp,5,0.9550382627252573,0.18737496585881763
314,26,NN1,UR,5,0.9311147617462677,0.24484247829938416
315,26,NN1,Pres,10,0.9918646517668389,0.09062572343630657
316,26,NN1,Temp,10,0.9557523957590108,0.18027186064030531
317,26,NN1,UR,10,0.9366962408413085,0.2365655937241102
318,26,NN1,Pres,25,0.9909151818239244,0.0939025035459567
319,26,NN1,Temp,25,0.9592072517121282,0.1766085490178583
320,26,NN1,UR,25,0.9283295855888306,0.25785706702898237
321,26,NN1,Pres,50,0.9913693469578868,0.09125064688340619
322,26,NN1,Temp,50,0.9619775528207157,0.170871306289632
323,26,NN1,UR,50,0.9291589246553273,0.2531402086868167
324,27,NN1,Pres,5,0.9932246673817863,0.07998975671924376
325,27,NN1,Temp,5,0.9732640028496196,0.1506891865249907
326,27,NN1,UR,5,0.9373342360063313,0.2372219944995045
327,27,NN1,Pres,10,0.9921272233936019,0.08909946017080729
328,27,NN1,Temp,10,0.9654427396373141,0.16499942628475048
329,27,NN1,UR,10,0.9262070280642803,0.25515327256491416
330,27,NN1,Pres,25,0.9910655661187948,0.0929414662174335
331,27,NN1,Temp,25,0.9669431045911345,0.16186276677417372
332,27,NN1,UR,25,0.9282546329585879,0.2503726040988574
333,27,NN1,Pres,50,0.9911162825895403,0.09161346590140436
334,27,NN1,Temp,50,0.9637963093486736,0.16716915475341199
335,27,NN1,UR,50,0.9260469044641153,0.25431577996971977
336,28,NN1,Pres,5,0.9909723414538957,0.08966120671159956
337,28,NN1,Temp,5,0.9512627830388649,0.18946242694113713
338,28,NN1,UR,5,0.932198369535063,0.2630624533922652
339,28,NN1,Pres,10,0.9920820582796535,0.08676601313899315
340,28,NN1,Temp,10,0.9597564300472055,0.17449694090562823
341,28,NN1,UR,10,0.934908530489438,0.24924278217384666
342,28,NN1,Pres,25,0.9911604890965481,0.09144934502210364
343,28,NN1,Temp,25,0.9626828305080644,0.16806168959653622
344,28,NN1,UR,25,0.929407802301439,0.2519845697367481
345,28,NN1,Pres,50,0.9910988403415233,0.09253398892648317
346,28,NN1,Temp,50,0.9602544155267476,0.17357851798267152
347,28,NN1,UR,50,0.9288885095466176,0.2525452180595325
348,29,NN1,Pres,5,0.9922152243410772,0.08191931426746935
349,29,NN1,Temp,5,0.9521301436480313,0.1804548013420031
350,29,NN1,UR,5,0.9246790119703413,0.2598087990876445
351,29,NN1,Pres,10,0.9927294661543157,0.08369687674295055
352,29,NN1,Temp,10,0.9653466967105959,0.16052595830240288
