,Seed,Technique,Feature,Percentage,R2,RMSE
203,17,Average4v,UR,10,0.8044247677580889,0.4320335558507036
204,18,Average4v,Pres,10,0.9405302461368378,0.24264505984990556
205,18,Average4v,Temp,10,0.8729279876715272,0.314179094319927
206,18,Average4v,UR,10,0.7888687379644561,0.43961288138406757
207,19,Average4v,Pres,10,0.9372661575193111,0.23991495962313797
208,19,Average4v,Temp,10,0.8535787000253229,0.33765846378091824
209,19,Average4v,UR,10,0.785449622774909,0.4361342010158496
210,20,Average4v,Pres,10,0.9438379651994696,0.23273029082291502
211,20,Average4v,Temp,10,0.8776564553140462,0.3040330934051199
212,20,Average4v,UR,10,0.7712615726827126,0.4569252555428146
213,21,Average4v,Pres,10,0.9407986924935137,0.2424228885252112
214,21,Average4v,Temp,10,0.8496080555229731,0.3422719011089457
215,21,Average4v,UR,10,0.758472476136091,0.45998905291535636
216,22,Average4v,Pres,10,0.9357476784682225,0.24542654315629422
217,22,Average4v,Temp,10,0.8833154050204355,0.30747889470266465
218,22,Average4v,UR,10,0.7906516114101378,0.43857626425387
219,23,Average4v,Pres,10,0.931741076152381,0.24549675782937871
220,23,Average4v,Temp,10,0.8571682857596734,0.32543196811880143
221,23,Average4v,UR,10,0.7978558304753147,0.4279536266597092
222,24,Average4v,Pres,10,0.9442464063129814,0.23707661497586124
223,24,Average4v,Temp,10,0.8606913695006978,0.3461375672195296
224,24,Average4v,UR,10,0.7906516114101378,0.43857626425387
225,25,Average4v,Pres,10,0.9357476784682225,0.24542654315629422
226,25,Average4v,Temp,10,0.8693840062369246,0.30972855059420884
227,25,Average4v,UR,10,0.7540487420135741,0.46192090128126917
228,26,Average4v,Pres,10,0.9444599909385044,0.23679165108272285
229,26,Average4v,Temp,10,0.8693840062369246,0.30972855059420884
230,26,Average4v,UR,10,0.79486915489174,0.4258457479409449
231,27,Average4v,Pres,10,0.9424234450056239,0.2409538925435785
232,27,Average4v,Temp,10,0.8566442511392105,0.33606272026173817
233,27,Average4v,UR,10,0.7914346285837981,0.42895797235126437
234,28,Average4v,Pres,10,0.9409570655707373,0.23693403946096145
235,28,Average4v,Temp,10,0.8679142516984302,0.31613133732562854
236,28,Average4v,UR,10,0.8044247677580889,0.4320335558507036
237,29,Average4v,Pres,10,0.9388826750884993,0.24266563056309132
238,29,Average4v,Temp,10,0.8653106592244073,0.3164751140858573
239,29,Average4v,UR,10,0.785449622774909,0.4361342010158496
240,30,Average4v,Pres,10,0.942720166589942,0.22725812295805875
241,30,Average4v,Temp,10,0.8634125221857578,0.32078465734425954
242,30,Average4v,UR,10,0.7883594246297124,0.4504163695625209
243,31,Average4v,Pres,10,0.9406078258551058,0.23892443236523694
244,31,Average4v,Temp,10,0.8649930767577192,0.313627100269691
245,31,Average4v,UR,10,0.7906080270117547,0.42335918202791833
246,32,Average4v,Pres,10,0.9407251685029989,0.24075267810476159
247,32,Average4v,Temp,10,0.8772953682853839,0.311124668085934
248,32,Average4v,UR,10,0.7838195237527821,0.4370100979305012
249,33,Average4v,Pres,10,0.9393194266944594,0.23548013126626433
250,33,Average4v,Temp,10,0.8797130043008189,0.31085096207758545
251,33,Average4v,UR,10,0.7785015907915384,0.44866494676120955
252,34,Average4v,Pres,10,0.9432883274454992,0.2317158636883587
253,34,Average4v,Temp,10,0.8684782023004126,0.32336447710714117
254,34,Average4v,UR,10,0.7864175242202215,0.4225503045298173
255,35,Average4v,Pres,10,0.9407986924935137,0.2424228885252112
256,35,Average4v,Temp,10,0.8776564553140462,0.3040330934051199
257,35,Average4v,UR,10,0.8123970626823276,0.41316086889502984
258,36,Average4v,Pres,10,0.934792604086032,0.24338953530625068
259,36,Average4v,Temp,10,0.8535787000253229,0.33765846378091824
260,36,Average4v,UR,10,0.78254732933259,0.4367023223020113
